job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time,scenario_id
134,1979700.0,6900.0,0.05,0.5,0,1995570.0,azure_vm_real_slice
135,438600.0,300.0,0.05,0.125,0,439290.0,azure_vm_real_slice
136,804600.0,900.0,0.05,0.125,0,806670.0,azure_vm_real_slice
137,462300.0,35700.0,0.09860570386446316,0.5,2,526560.0,azure_vm_real_slice
138,0.0,300.0,0.05,0.5,0,690.0,azure_vm_real_slice
139,1244700.0,600.0,0.05,0.125,0,1246080.0,azure_vm_real_slice
140,1875900.0,600.0,0.34227447591429727,0.125,0,1877280.0,azure_vm_real_slice
141,1335000.0,4500.0,0.12328634519578323,0.5,0,1345350.0,azure_vm_real_slice
142,283800.0,600.0,0.2210358196079299,0.125,0,285180.0,azure_vm_real_slice
143,0.0,300.0,0.1610157369266279,0.05,0,690.0,azure_vm_real_slice
144,582300.0,54300.0,0.05,0.5,0,707190.0,azure_vm_real_slice
145,1029600.0,300.0,0.05,0.5,2,1030140.0,azure_vm_real_slice
146,893100.0,300.0,0.29376710743662754,0.0625,0,893790.0,azure_vm_real_slice
147,1902300.0,300.0,0.19187628625076567,0.125,0,1902990.0,azure_vm_real_slice
148,1847100.0,2700.0,0.6181989380410553,0.125,1,1852635.0,azure_vm_real_slice
149,102600.0,1200.0,0.05,0.5,0,105360.0,azure_vm_real_slice
150,0.0,15300.0,0.05,0.5,0,35190.0,azure_vm_real_slice
151,0.0,475800.0,0.05,0.125,0,1094340.0,azure_vm_real_slice
152,0.0,3000.0,0.1248438199817089,0.5,0,6899.999999999999,azure_vm_real_slice
153,576300.0,96900.0,0.05,0.5,0,799170.0,azure_vm_real_slice
154,216300.0,600.0,0.10585337968372162,0.05,0,217680.0,azure_vm_real_slice
155,92400.0,1800.0,0.05,0.125,0,96540.0,azure_vm_real_slice
156,0.0,2400.0,0.1958928088004804,0.0625,0,5520.0,azure_vm_real_slice
157,0.0,2591400.0,0.058787828314292565,0.0625,0,5960220.0,azure_vm_real_slice
158,1337100.0,300.0,0.05,0.5,2,1337640.0,azure_vm_real_slice
159,1950300.0,300.0,0.17836473577838138,0.125,0,1950990.0,azure_vm_real_slice
160,531600.0,2400.0,0.215292566398373,0.125,0,537120.0,azure_vm_real_slice
161,1005000.0,600.0,0.4258331586772702,0.125,1,1006230.0,azure_vm_real_slice
162,857700.0,300.0,0.06528705030109246,0.125,0,858390.0,azure_vm_real_slice
163,1884300.0,300.0,0.19249387377863805,0.125,0,1884990.0,azure_vm_real_slice
164,677400.0,21600.0,0.07448825494648581,0.125,0,727080.0,azure_vm_real_slice
165,1907700.0,2700.0,0.5643177495501799,0.5,2,1912560.0,azure_vm_real_slice
166,1348800.0,600.0,0.05,0.125,0,1350180.0,azure_vm_real_slice
167,925500.0,900.0,0.05,0.5,0,927570.0,azure_vm_real_slice
168,103200.0,6300.0,0.2304345490415254,0.5,0,117690.0,azure_vm_real_slice
169,1791900.0,74100.0,0.11187438532012203,0.05,0,1962330.0,azure_vm_real_slice
170,0.0,300.0,0.08931643409092274,0.5,0,690.0,azure_vm_real_slice
171,187500.0,3600.0,0.502663878480553,0.125,1,194880.0,azure_vm_real_slice
172,0.0,300.0,0.07496424680466732,0.5,0,690.0,azure_vm_real_slice
173,0.0,2700.0,0.05,0.5,0,6209.999999999999,azure_vm_real_slice
174,0.0,600.0,0.05,0.5,0,1380.0,azure_vm_real_slice
175,0.0,300.0,0.05,0.0625,0,690.0,azure_vm_real_slice
176,1985700.0,300.0,0.33560065936808897,0.125,0,1986390.0,azure_vm_real_slice
177,328500.0,600.0,0.05094553978217033,0.125,0,329880.0,azure_vm_real_slice
178,648900.0,900.0,0.057476813610114,0.0625,0,650970.0,azure_vm_real_slice
179,0.0,9000.0,0.22211781844467512,0.5,0,20700.0,azure_vm_real_slice
180,1305600.0,12000.0,0.05,0.0625,0,1333200.0,azure_vm_real_slice
181,847500.0,900.0,0.05888248448879553,0.5,0,849570.0,azure_vm_real_slice
182,1589100.0,1200.0,0.2629831516502001,0.0625,0,1591860.0,azure_vm_real_slice
183,220200.0,900.0,0.14400681857394956,0.125,0,222270.0,azure_vm_real_slice
184,0.0,253800.0,0.07242589826676844,0.0625,0,583740.0,azure_vm_real_slice
185,338100.0,600.0,0.05,0.125,0,339480.0,azure_vm_real_slice
186,44400.0,1200.0,0.05,0.5,2,46560.0,azure_vm_real_slice
187,1960500.0,3300.0,0.6174332429417456,0.125,1,1967265.0,azure_vm_real_slice
188,705000.0,600.0,0.17912134481890024,0.5,0,706380.0,azure_vm_real_slice
189,712200.0,5700.0,0.07919471065759506,0.125,0,725310.0,azure_vm_real_slice
190,587100.0,10200.0,0.05,0.125,0,610560.0,azure_vm_real_slice
191,536700.0,6000.0,0.4980235965892285,0.125,1,549000.0,azure_vm_real_slice
192,1561200.0,144900.0,0.08766878758266763,0.125,0,1894470.0,azure_vm_real_slice
193,0.0,300.0,0.05,0.5,2,540.0,azure_vm_real_slice
194,231600.0,900.0,0.29204498182170746,0.0625,0,233670.0,azure_vm_real_slice
195,1364400.0,600.0,0.05,0.0625,0,1365780.0,azure_vm_real_slice
196,0.0,2591400.0,0.05,0.05,0,5960220.0,azure_vm_real_slice
197,1810500.0,19800.0,0.05151512624902788,0.5,0,1856040.0,azure_vm_real_slice
198,385800.0,7200.0,0.12201287102280343,0.0625,0,402360.0,azure_vm_real_slice
199,0.0,300.0,0.08086712640359524,0.125,0,690.0,azure_vm_real_slice
200,0.0,300.0,0.9154295564140358,0.0625,2,540.0,azure_vm_real_slice
201,1462200.0,900.0,0.17149096680542264,0.125,0,1464270.0,azure_vm_real_slice
202,1735800.0,1200.0,0.05,0.0625,0,1738560.0,azure_vm_real_slice
203,228000.0,900.0,0.303031925910959,0.0625,0,230070.0,azure_vm_real_slice
204,789300.0,7200.0,0.05,0.5,2,802260.0,azure_vm_real_slice
205,435900.0,300.0,0.05,0.125,0,436590.0,azure_vm_real_slice
206,639000.0,119400.0,0.05,0.0625,0,913620.0,azure_vm_real_slice
207,1691400.0,300.0,0.05,0.5,0,1692090.0,azure_vm_real_slice
208,0.0,4500.0,0.08128710691451874,0.05,0,10350.0,azure_vm_real_slice
209,11700.0,600.0,0.05,0.125,0,13080.0,azure_vm_real_slice
210,0.0,4800.0,0.05,0.5,2,8640.0,azure_vm_real_slice
211,270600.0,900.0,0.11780443122609251,0.125,0,272670.0,azure_vm_real_slice
212,0.0,2591400.0,0.07075107749959307,0.125,0,5960220.0,azure_vm_real_slice
213,528000.0,300.0,0.6556152781862745,0.5,1,528615.0,azure_vm_real_slice
214,513600.0,300.0,0.24957551860466767,0.125,0,514290.0,azure_vm_real_slice
215,138000.0,300.0,0.05,0.125,0,138690.0,azure_vm_real_slice
216,1027500.0,2100.0,0.10482480463243245,0.125,0,1032330.0,azure_vm_real_slice
217,0.0,37500.0,0.43240643902216497,0.125,1,76875.0,azure_vm_real_slice
218,113100.0,1800.0,0.5442879741214397,0.125,1,116790.0,azure_vm_real_slice
219,155400.0,300.0,0.07720061802048393,0.125,0,156090.0,azure_vm_real_slice
220,0.0,70200.0,0.8157865045246947,0.125,2,126359.99999999999,azure_vm_real_slice
221,109500.0,3600.0,0.10080053318908655,0.5,0,117780.0,azure_vm_real_slice
222,1718700.0,54300.0,0.05,0.125,0,1843590.0,azure_vm_real_slice
223,810300.0,2400.0,0.19776455968616113,0.5,0,815820.0,azure_vm_real_slice
224,1144500.0,33000.0,0.21513947357270335,0.5,0,1220400.0,azure_vm_real_slice
225,1161000.0,1200.0,0.2796521367759298,0.0625,0,1163760.0,azure_vm_real_slice
226,365700.0,1800.0,0.05,0.5,0,369840.0,azure_vm_real_slice
227,934800.0,300.0,0.05,0.0625,0,935490.0,azure_vm_real_slice
228,7200.0,8100.0,0.3259043139791059,0.5,2,21780.0,azure_vm_real_slice
229,302400.0,300.0,0.05,0.5,0,303090.0,azure_vm_real_slice
230,1117800.0,4500.0,0.13970738694568482,0.05,0,1128150.0,azure_vm_real_slice
231,1945500.0,87600.0,0.05,0.5,2,2103180.0,azure_vm_real_slice
232,0.0,2100.0,0.05,0.5,0,4830.0,azure_vm_real_slice
233,0.0,2591400.0,0.05,0.05,0,5960220.0,azure_vm_real_slice
234,0.0,2700.0,0.05,0.5,0,6209.999999999999,azure_vm_real_slice
235,885000.0,300.0,0.3879388856460511,0.0625,1,885615.0,azure_vm_real_slice
236,339000.0,2100.0,0.46425542685091237,0.125,1,343305.0,azure_vm_real_slice
237,1569300.0,1500.0,0.22982630852840724,0.125,0,1572750.0,azure_vm_real_slice
238,78300.0,1800.0,0.18907006106589716,0.5,0,82440.0,azure_vm_real_slice
239,1054800.0,10200.0,0.05,0.0625,0,1078260.0,azure_vm_real_slice
240,124200.0,1200.0,0.05,0.125,0,126960.0,azure_vm_real_slice
241,1797900.0,1200.0,0.05,1.0,2,1800060.0,azure_vm_real_slice
242,1662000.0,300.0,0.17348839263515983,0.125,0,1662690.0,azure_vm_real_slice
243,969600.0,300.0,0.05,0.125,0,970290.0,azure_vm_real_slice
244,0.0,3900.0,0.07857752770433755,0.125,0,8970.0,azure_vm_real_slice
245,0.0,900.0,0.05,0.125,0,2070.0,azure_vm_real_slice
246,144300.0,600.0,0.08563921256714052,0.125,0,145680.0,azure_vm_real_slice
247,1723800.0,3900.0,0.05,0.5,0,1732770.0,azure_vm_real_slice
248,1732800.0,300.0,0.05,0.5,2,1733340.0,azure_vm_real_slice
249,1863000.0,600.0,0.05,0.5,0,1864380.0,azure_vm_real_slice
250,0.0,300.0,0.05,0.125,0,690.0,azure_vm_real_slice
251,1235700.0,600.0,0.05,0.125,0,1237080.0,azure_vm_real_slice
252,0.0,3300.0,0.466529626798174,0.05,1,6764.999999999999,azure_vm_real_slice
253,0.0,1200.0,0.1427269102319739,0.125,0,2760.0,azure_vm_real_slice
254,0.0,3600.0,0.05,0.125,0,8280.0,azure_vm_real_slice
255,659700.0,600.0,0.05,0.125,0,661080.0,azure_vm_real_slice
256,0.0,2591400.0,0.05,0.05,0,5960220.0,azure_vm_real_slice
257,0.0,2220600.0,0.05,0.125,0,5107380.0,azure_vm_real_slice
258,0.0,2591400.0,0.05,0.0625,0,5960220.0,azure_vm_real_slice
259,1491900.0,300.0,0.05,0.5,0,1492590.0,azure_vm_real_slice
260,0.0,1500.0,0.05,0.125,0,3449.9999999999995,azure_vm_real_slice
261,1555800.0,1800.0,0.380300865876025,0.05,1,1559490.0,azure_vm_real_slice
262,0.0,2591400.0,0.17485356064738236,0.0625,0,5960220.0,azure_vm_real_slice
263,1366800.0,21300.0,0.1971014098211354,0.0625,0,1415790.0,azure_vm_real_slice
264,1748700.0,17100.0,0.27612689710267835,0.5,0,1788030.0,azure_vm_real_slice
265,230700.0,900.0,0.26097638479834995,0.0625,0,232770.0,azure_vm_real_slice
266,51000.0,46200.0,0.05,0.125,0,157260.0,azure_vm_real_slice
267,0.0,8700.0,0.05,0.5,0,20010.0,azure_vm_real_slice
268,368400.0,600.0,0.0605972781207718,0.5,0,369780.0,azure_vm_real_slice
269,1636500.0,1500.0,0.23294925742878486,0.5,0,1639950.0,azure_vm_real_slice
270,339300.0,13800.0,0.09585910705124,0.5,2,364140.0,azure_vm_real_slice
271,1927200.0,600.0,0.28312287018913634,0.125,0,1928580.0,azure_vm_real_slice
272,1722000.0,2700.0,0.5323791296679883,0.0625,1,1727535.0,azure_vm_real_slice
273,0.0,300.0,0.05436905866769319,0.05,0,690.0,azure_vm_real_slice
274,1660800.0,300.0,0.09648959257531196,0.125,0,1661490.0,azure_vm_real_slice
275,1094700.0,1500.0,0.11801917855434545,0.125,0,1098150.0,azure_vm_real_slice
276,317400.0,300.0,0.11882897164843433,0.0625,0,318090.0,azure_vm_real_slice
277,0.0,893700.0,0.05,1.0,2,1608659.9999999998,azure_vm_real_slice
278,1168200.0,313200.0,0.3292256234526574,0.0625,0,1888560.0,azure_vm_real_slice
279,0.0,35700.0,0.38996443284178445,0.125,1,73185.0,azure_vm_real_slice
280,409200.0,51900.0,0.16743281661026466,0.0625,0,528570.0,azure_vm_real_slice
281,1737000.0,2700.0,0.2828095460438125,0.125,0,1743210.0,azure_vm_real_slice
282,1083000.0,14400.0,0.05,0.0625,0,1116120.0,azure_vm_real_slice
283,0.0,2591400.0,0.08981013631214667,0.05,0,5960220.0,azure_vm_real_slice
284,0.0,300.0,0.05,0.0625,0,690.0,azure_vm_real_slice
285,1086000.0,600.0,0.05,0.0625,0,1087380.0,azure_vm_real_slice
286,0.0,1200.0,0.05,0.5,0,2760.0,azure_vm_real_slice
287,0.0,364500.0,0.05,0.125,0,838349.9999999999,azure_vm_real_slice
288,0.0,1500.0,0.05,1.0,2,2699.9999999999995,azure_vm_real_slice
289,1594800.0,1800.0,0.05,0.5,0,1598940.0,azure_vm_real_slice
290,2028300.0,4800.0,0.1768226456420522,0.125,0,2039340.0,azure_vm_real_slice
291,1162500.0,36000.0,0.3967383478060398,0.125,1,1236300.0,azure_vm_real_slice
292,0.0,300.0,0.3555876997613613,0.0625,1,615.0,azure_vm_real_slice
293,0.0,300.0,0.05,0.125,0,690.0,azure_vm_real_slice
294,0.0,2590800.0,0.1651063836984891,0.05,0,5958840.0,azure_vm_real_slice
295,1129200.0,1800.0,0.4557711141179622,0.125,1,1132890.0,azure_vm_real_slice
296,708900.0,2400.0,0.05,0.125,0,714420.0,azure_vm_real_slice
297,627900.0,1500.0,0.23852658573359786,0.125,0,631350.0,azure_vm_real_slice
298,367800.0,5100.0,0.06672480661287106,1.0,2,376980.0,azure_vm_real_slice
299,869100.0,900.0,0.05,1.0,2,870720.0,azure_vm_real_slice
300,1067700.0,1800.0,0.07449004326542406,0.125,0,1071840.0,azure_vm_real_slice
301,546000.0,300.0,0.12286531018992068,0.05,0,546690.0,azure_vm_real_slice
302,1719000.0,300.0,0.05406350290221143,0.125,0,1719690.0,azure_vm_real_slice
